SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NIBE,EQ,07-02-2025,"1,509.40","1,660.00","1,660.00","1,570.05","1,590.00","1,592.90","1,614.71","66,988","10,81,65,946.90","4,412","25,840",38.57
NIBE,EQ,10-02-2025,"1,592.90","1,600.00","1,606.25","1,465.55","1,514.70","1,505.95","1,512.91","23,608","3,57,16,732.45","2,870","13,254",56.14
NIBE,EQ,11-02-2025,"1,505.95","1,504.05","1,504.05","1,355.35","1,387.90","1,389.95","1,391.65","40,992","5,70,46,624.50","2,695","26,149",63.79
NIBE,EQ,12-02-2025,"1,389.95","1,387.85","1,479.15","1,295.35","1,390.15","1,396.05","1,394.50","53,816","7,50,46,639.50","4,878","26,989",50.15
NIBE,EQ,13-02-2025,"1,396.05","1,256.45","1,320.00","1,256.45","1,280.00","1,280.95","1,274.67","2,55,636","32,58,51,450.95","5,833","97,966",38.32
NIBE,EQ,14-02-2025,"1,280.95","1,299.95","1,321.90","1,160.00","1,230.00","1,209.40","1,215.86","57,631","7,00,71,255.50","5,310","34,402",59.69
NIBE,EQ,17-02-2025,"1,209.40","1,209.40","1,209.40","1,148.95","1,148.95","1,148.95","1,160.54","54,574","6,33,35,528.15","2,029","35,400",64.87
NIBE,EQ,18-02-2025,"1,148.95","1,135.00","1,135.00","1,091.50","1,091.50","1,091.50","1,094.83","24,541","2,68,68,298.50","1,122","17,715",72.19
NIBE,EQ,19-02-2025,"1,091.50","1,036.95","1,130.10","1,036.95","1,043.15","1,040.10","1,066.35","63,926","6,81,67,751.80","4,472","31,879",49.87
NIBE,EQ,20-02-2025,"1,040.10","1,039.95","1,092.10","1,026.15","1,050.00","1,046.20","1,067.19","51,027","5,44,55,493.25","2,855","24,394",47.81
NIBE,EQ,21-02-2025,"1,046.20","1,061.00","1,096.00","1,008.00","1,050.00","1,041.65","1,044.04","36,910","3,85,35,375.40","2,614","21,313",57.74
NIBE,EQ,24-02-2025,"1,041.65","1,001.30","1,060.10","1,001.30","1,045.00","1,045.90","1,036.99","23,762","2,46,40,977.10","1,989","15,659",65.9
NIBE,EQ,25-02-2025,"1,045.90","1,050.00","1,094.80","1,049.95","1,061.00","1,064.05","1,067.77","19,003","2,02,90,869.80","1,552","12,175",64.07
NIBE,EQ,27-02-2025,"1,064.05","1,044.05","1,089.00","1,010.85","1,015.00","1,032.35","1,033.13","42,092","4,34,86,388.20","2,234","29,326",69.67
NIBE,EQ,28-02-2025,"1,032.35","1,000.00","1,019.70",980.75,984.95,984.85,988.66,"50,994","5,04,15,624.05","1,992","35,882",70.37
NIBE,EQ,03-03-2025,984.85,985.00,986.05,935.60,935.60,935.60,942.67,"32,841","3,09,58,091.20","1,467","19,058",58.03
NIBE,EQ,04-03-2025,935.60,901.40,958.90,891.20,895.00,901.45,923.49,"1,00,168","9,25,03,925.50","8,043","46,401",46.32
NIBE,EQ,05-03-2025,901.45,901.00,946.50,901.00,946.50,946.50,937.63,"21,840","2,04,77,921.70",493,"19,384",88.75
NIBE,EQ,06-03-2025,946.50,969.80,993.80,969.80,993.80,992.15,991.13,"1,09,012","10,80,45,024.05","2,756","58,667",53.82
NIBE,EQ,07-03-2025,992.15,999.70,"1,010.00",971.10,983.45,981.05,994.39,"63,002","6,26,48,677.75","3,546","42,284",67.12
NIBE,EQ,10-03-2025,981.05,994.00,"1,024.30",932.00,932.00,934.50,985.68,"61,350","6,04,71,191.65","3,281","43,651",71.15
NIBE,EQ,11-03-2025,934.50,910.30,920.00,905.00,914.50,915.55,911.18,"48,104","4,38,31,575.05","1,950","37,172",77.27
NIBE,EQ,12-03-2025,915.55,915.00,940.00,883.05,889.00,887.85,901.67,"31,275","2,81,99,724.40","2,209","22,010",70.38
NIBE,EQ,13-03-2025,887.85,908.70,908.70,843.45,843.45,843.45,861.22,"44,949","3,87,11,190.20","3,105","29,477",65.58
NIBE,EQ,17-03-2025,843.45,821.00,840.00,801.30,801.30,804.70,805.96,"80,348","6,47,57,033.25","2,266","56,266",70.03
NIBE,EQ,18-03-2025,804.70,775.05,793.30,764.50,764.50,768.15,772.07,"1,72,868","13,34,65,605.60","5,455","88,097",50.96
NIBE,EQ,19-03-2025,768.15,761.50,806.55,761.50,806.55,806.55,798.79,"37,119","2,96,50,157.55","1,178","29,144",78.52
NIBE,EQ,20-03-2025,806.55,846.85,846.85,826.75,846.85,846.85,844.88,"87,490","7,39,18,199.20",808,"42,914",49.05
NIBE,EQ,21-03-2025,846.85,883.15,889.15,866.60,889.15,889.15,886.23,"28,442","2,52,06,131.45",784,"22,897",80.5
NIBE,EQ,24-03-2025,889.15,933.60,933.60,913.30,933.60,933.60,929.93,"62,072","5,77,22,850.25",697,"28,975",46.68
NIBE,EQ,25-03-2025,933.60,972.00,980.25,971.90,980.25,980.25,978.38,"46,500","4,54,94,657.05",884,"30,755",66.14
NIBE,EQ,26-03-2025,980.25,"1,029.25","1,029.25","1,029.25","1,029.25","1,029.25","1,029.25","32,250","3,31,93,312.50",518,"29,491",91.44
NIBE,EQ,27-03-2025,"1,029.25","1,080.70","1,080.70",977.80,977.80,991.80,"1,019.86","2,22,625","22,70,46,297.40","9,694","1,23,824",55.62
NIBE,EQ,28-03-2025,991.80,990.55,"1,041.35",988.80,"1,041.35","1,041.35","1,024.72","35,007","3,58,72,446.15","1,464","26,040",74.39
NIBE,EQ,01-04-2025,"1,041.35","1,054.90","1,093.40","1,026.05","1,093.40","1,093.40","1,074.05","77,415","8,31,47,256.90","2,783","37,775",48.8
NIBE,EQ,02-04-2025,"1,093.40","1,109.95","1,148.05","1,100.05","1,148.05","1,140.95","1,138.33","1,19,661","13,62,14,174.25","3,588","54,625",45.65
NIBE,EQ,03-04-2025,"1,140.95","1,151.00","1,197.95","1,151.00","1,197.95","1,197.95","1,182.79","17,312","2,04,76,436.40",543,"12,096",69.87
NIBE,EQ,04-04-2025,"1,197.95","1,257.80","1,257.80","1,222.05","1,257.80","1,256.55","1,252.98","1,58,266","19,83,04,775.40","4,515","73,302",46.32
NIBE,EQ,07-04-2025,"1,256.55","1,193.75","1,193.75","1,193.75","1,193.75","1,193.75","1,193.75","15,339","1,83,10,931.25",546,"14,700",95.83
NIBE,EQ,08-04-2025,"1,193.75","1,200.10","1,253.40","1,160.75","1,163.00","1,172.60","1,218.18","96,312","11,73,25,011.75","5,590","41,041",42.61
NIBE,EQ,09-04-2025,"1,172.60","1,155.85","1,202.10","1,114.00","1,161.00","1,161.45","1,138.98","80,786","9,20,13,248.25","4,554","29,383",36.37
NIBE,EQ,11-04-2025,"1,161.45","1,219.50","1,219.50","1,219.50","1,219.50","1,219.50","1,219.50","16,736","2,04,09,552.00",417,"16,526",98.75
NIBE,EQ,15-04-2025,"1,219.50","1,280.40","1,280.40","1,280.40","1,280.40","1,280.40","1,280.40","6,365","81,49,746.00",188,"6,365",100.0
NIBE,EQ,16-04-2025,"1,280.40","1,344.40","1,344.40","1,344.40","1,344.40","1,344.40","1,344.40","9,477","1,27,40,878.80",251,"9,477",100.0
NIBE,EQ,17-04-2025,"1,344.40","1,411.60","1,411.60","1,350.00","1,410.90","1,398.00","1,407.32","1,91,801","26,99,26,316.90","3,992","82,349",42.93
NIBE,EQ,21-04-2025,"1,398.00","1,428.00","1,467.90","1,415.40","1,467.90","1,467.90","1,461.97","85,613","12,51,63,631.30","1,703","44,097",51.51
NIBE,EQ,22-04-2025,"1,467.90","1,519.00","1,541.20","1,488.00","1,541.20","1,541.20","1,525.69","76,687","11,70,00,422.00","2,665","41,117",53.62
NIBE,EQ,23-04-2025,"1,541.20","1,578.00","1,589.70","1,464.20","1,500.10","1,513.10","1,500.07","2,87,915","43,18,93,636.90","12,582","1,19,456",41.49
NIBE,EQ,24-04-2025,"1,513.10","1,500.00","1,578.00","1,469.00","1,505.00","1,497.60","1,518.93","1,37,079","20,82,13,384.80","6,415","72,620",52.98
NIBE,EQ,25-04-2025,"1,497.60","1,460.40","1,489.60","1,422.80","1,422.80","1,422.80","1,430.88","81,531","11,66,61,113.80","2,970","41,883",51.37
NIBE,EQ,28-04-2025,"1,422.80","1,390.00","1,406.30","1,351.70","1,351.70","1,353.20","1,370.70","65,270","8,94,65,412.90","3,841","42,472",65.07
NIBE,EQ,29-04-2025,"1,353.20","1,376.00","1,419.70","1,360.00","1,393.00","1,388.50","1,386.24","57,959","8,03,44,988.70","2,990","33,009",56.95
NIBE,EQ,30-04-2025,"1,388.50","1,413.50","1,413.50","1,319.10","1,319.10","1,319.10","1,346.27","42,782","5,75,96,247.00","2,589","26,248",61.35
NIBE,EQ,02-05-2025,"1,319.10","1,340.00","1,377.00","1,272.00","1,360.00","1,354.80","1,324.33","52,727","6,98,27,753.40","3,415","25,725",48.79
NIBE,EQ,05-05-2025,"1,354.80","1,398.00","1,400.00","1,324.40","1,360.00","1,359.10","1,351.21","31,300","4,22,92,802.80","2,047","18,269",58.37
NIBE,EQ,06-05-2025,"1,359.10","1,359.10","1,381.10","1,295.00","1,298.90","1,297.70","1,314.52","38,743","5,09,28,465.40","2,079","25,719",66.38
NIBE,EQ,07-05-2025,"1,297.70","1,232.90","1,331.00","1,232.90","1,317.00","1,313.70","1,290.94","38,932","5,02,58,926.60","2,479","16,839",43.25
NIBE,EQ,08-05-2025,"1,313.70","1,337.70","1,337.70","1,255.50","1,269.10","1,272.40","1,300.09","28,891","3,75,60,949.00","1,711","16,426",56.86
NIBE,EQ,09-05-2025,"1,272.40","1,260.00","1,336.00","1,221.10","1,336.00","1,336.00","1,307.17","45,710","5,97,50,879.80","1,531","28,004",61.26
NIBE,EQ,12-05-2025,"1,336.00","1,402.80","1,402.80","1,402.80","1,402.80","1,402.80","1,402.80","15,018","2,10,67,250.40",450,"15,018",100.0
