SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BALCO,ST,2024-08-21,91.0,102.0,107.1,102.0,107.1,107.1,104.86,"4,33,200","4,54,26,120.00",351,"4,33,200",100.0
BALCO,ST,2024-08-22,107.1,112.45,112.45,107.15,112.45,112.45,112.06,"5,11,200","5,72,85,300.00",323,"4,74,000",92.72
BALCO,ST,2024-08-23,112.45,106.85,111.25,106.85,106.85,106.85,107.13,"72,000","77,13,300.00",56,"69,600",96.67
BALCO,ST,2024-08-26,106.85,101.5,101.5,101.5,101.5,101.5,101.5,"18,000","18,27,000.00",13,"18,000",100.0
BALCO,ST,2024-08-27,101.5,96.45,96.45,96.45,96.45,96.45,96.45,"15,600","15,04,620.00",11,"15,600",100.0
BALCO,ST,2024-08-28,96.45,91.65,91.65,91.65,91.65,91.65,91.65,"14,400","13,19,760.00",12,"14,400",100.0
BALCO,ST,2024-08-29,91.65,87.1,87.1,87.1,87.1,87.1,87.1,"13,200","11,49,720.00",11,"13,200",100.0
BALCO,ST,2024-08-30,87.1,82.75,82.75,82.75,82.75,82.75,82.75,"14,400","11,91,600.00",11,"14,400",100.0
BALCO,ST,2024-09-02,82.75,78.65,86.25,78.65,80.5,80.6,80.85,"2,95,200","2,38,65,960.00",216,"2,55,600",86.59
BALCO,ST,2024-09-03,80.6,78.0,79.0,76.6,77.8,77.2,76.9,"1,48,800","1,14,42,660.00",109,"1,39,200",93.55
BALCO,SM,2024-09-04,77.2,76.45,76.45,68.95,71.3,70.7,71.26,"1,62,000","1,15,43,460.00",133,"1,04,400",64.44
BALCO,SM,2024-09-05,70.7,72.95,74.4,69.6,73.0,72.55,72.2,"86,400","62,38,380.00",72,"63,600",73.61
BALCO,SM,2024-09-06,72.55,72.55,73.0,67.0,68.1,68.15,69.39,"74,400","51,62,940.00",62,"61,200",82.26
BALCO,SM,2024-09-09,68.15,68.15,68.7,62.95,64.0,63.8,64.43,"90,000","57,98,700.00",60,"56,400",62.67
BALCO,SM,2024-09-10,63.8,64.0,65.4,62.0,63.1,63.75,64.04,"44,400","28,43,160.00",37,"24,000",54.05
BALCO,SM,2024-09-11,63.75,63.75,65.35,63.35,64.0,63.75,64.32,"42,000","27,01,320.00",33,"27,600",65.71
BALCO,SM,2024-09-12,63.75,64.0,64.25,63.35,64.0,64.0,63.92,"24,000","15,34,020.00",20,"19,200",80.0
BALCO,SM,2024-09-13,64.0,64.0,65.25,61.0,64.4,64.2,62.94,"1,00,800","63,44,460.00",59,"74,400",73.81
BALCO,SM,2024-09-16,64.2,65.3,66.0,64.0,64.0,64.15,65.33,"45,600","29,79,240.00",36,"31,200",68.42
BALCO,SM,2024-09-17,64.15,62.75,64.75,62.5,63.65,63.55,63.13,"31,200","19,69,800.00",25,"20,400",65.38
BALCO,SM,2024-09-18,63.55,62.6,63.7,62.6,62.8,62.75,62.95,"15,600","9,81,960.00",13,"13,200",84.62
BALCO,SM,2024-09-19,62.75,62.75,64.05,61.35,62.4,61.7,62.27,"21,600","13,45,020.00",15,"20,400",94.44
BALCO,SM,2024-09-20,61.7,63.95,63.95,60.75,61.5,61.2,61.6,"51,600","31,78,680.00",37,"37,200",72.09
BALCO,SM,2024-09-23,61.2,62.25,62.9,61.05,61.6,62.25,62.1,"15,600","9,68,700.00",13,"7,200",46.15
BALCO,SM,2024-09-24,62.25,61.6,62.2,60.0,60.15,60.15,60.68,"13,200","8,00,940.00",11,"10,800",81.82
BALCO,SM,2024-09-25,60.15,60.15,60.15,58.1,60.1,59.3,59.26,"32,400","19,19,940.00",25,"25,200",77.78
BALCO,SM,2024-09-26,59.3,58.0,58.4,58.0,58.4,58.4,58.17,"6,000","3,49,020.00",5,"6,000",100.0
BALCO,SM,2024-09-27,58.4,58.3,58.3,56.0,57.2,56.85,56.73,"19,200","10,89,240.00",12,"16,800",87.5
BALCO,SM,2024-09-30,56.85,55.5,57.95,54.05,57.95,57.2,56.09,"21,600","12,11,580.00",18,"14,400",66.67
BALCO,SM,2024-10-01,57.2,57.9,58.9,54.25,56.95,56.95,57.02,"10,800","6,15,780.00",9,"6,000",55.56
BALCO,SM,2024-10-03,56.95,56.95,56.95,54.05,54.15,54.6,55.18,"4,800","2,64,840.00",4,"4,800",100.0
BALCO,SM,2024-10-04,54.6,54.0,56.5,54.0,54.6,54.55,55.42,"12,000","6,64,980.00",10,"12,000",100.0
BALCO,SM,2024-10-07,54.55,54.55,54.55,53.9,53.9,53.9,54.22,"6,000","3,25,320.00",5,"6,000",100.0
BALCO,SM,2024-10-08,53.9,53.9,55.1,53.9,55.1,55.1,54.5,"2,400","1,30,800.00",2,"2,400",100.0
BALCO,ST,2024-10-09,55.1,57.5,57.85,56.9,57.8,57.8,57.52,"10,800","6,21,240.00",9,"9,600",88.89
BALCO,ST,2024-10-10,57.8,59.7,60.65,59.7,60.6,60.6,60.46,"14,400","8,70,660.00",9,"14,400",100.0
BALCO,ST,2024-10-11,60.6,63.5,63.6,61.0,63.6,63.6,63.37,"14,400","9,12,480.00",12,"14,400",100.0
BALCO,ST,2024-10-14,63.6,63.6,63.6,60.45,60.45,60.45,61.07,"13,200","8,06,100.00",11,"13,200",100.0
BALCO,ST,2024-10-15,60.45,57.45,62.1,57.45,62.1,62.05,59.75,"4,800","2,86,800.00",4,"4,800",100.0
BALCO,ST,2024-10-16,62.05,62.05,62.05,59.0,59.0,60.5,61.03,"3,600","2,19,720.00",3,"3,600",100.0
